field_id,name,research_domains,primary_support,review_or_standard_support,expected_reliability,known_confusions,prehuman_validation_tests,recommended_weight_prior,operational_risks
"R1.FIELD.MOD","mod","system governance","route identity constraint","package architecture","high","route mix","route-control checks","0.5","treated as content field"
"R1.FIELD.VAL","val","affective science; dimensional emotion","dimensional valence traditions","measurement validity frameworks","high","val vs act; mixed valence edge cases","evidence completeness; weight sanity; bin coverage audit","1.0","oversimplifying mixed states"
"R1.FIELD.ARO","aro","affective science; activation/arousal models","arousal dimension traditions","measurement validity frameworks","medium_high","aro vs int; high arousal neutral cases","evidence completeness; adversarial pair checks","1.0","collapse into intensity"
"R1.FIELD.INT","int","psychometrics of magnitude; felt intensity","magnitude framing","measurement design literature","medium","int vs aro","ablation and weight sensitivity","1.0","decorative duplicate of arousal"
"R1.FIELD.LOC","loc","interoception; body mapping","body-locus traditions","interoception literature","medium","adjacent body swaps; diffuse vs localized","coverage audit; adjacent confusion stress test","1.0","too-coarse or too-fine region bins"
"R1.FIELD.TEX","tex","descriptor traditions; felt quality labeling","quality descriptor traditions","content-validity logic","medium","pressure vs tightness; raw vs sharp","synonym clustering; near-synonym adversarial checks","1.5","lexicon drift"
"R1.FIELD.CON","con","temporal dynamics of affect","rise/fall/pulse dynamics traditions","EMA / temporal review traditions","medium_low","rise vs stronger; pulse vs oscillation","temporal-category sanity examples","1.0","retrospective distortion"
"R1.FIELD.CER","cer","metacognitive confidence","confidence distinction","measurement logic","medium","cer vs src uncertainty","ensure treated as metadata-like","0.5","overweighted certainty"
"R1.FIELD.SRC","src","attribution and trigger/source distinction","source framing","self-report structure logic","low_medium","src vs cer; reactive vs memory-triggered","do-not-overweight check","0.5","weak introspective access"
"R1.FIELD.ACT","act","action tendency / action readiness","action tendency traditions","emotion-action literature","medium","act vs val; freeze vs avoid","consistency audit vs val/aro","1.0","may be secondary in some states"
